"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá gốc (VNĐ)","Giá hiện tại (VNĐ)","Phần trăm giảm giá","Đơn vị tính"
"Rau đắng","https://www.bachhoaxanh.com/rau-sach/rau-dang-goi-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299807/bhx/thumb-hung-que-2_202506131018565918.jpg","","6500","","/200g"
"Rau diếp cá","https://www.bachhoaxanh.com/rau-sach/rau-diep-ca-goi-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299258/bhx/thumb-hung-que-1_202506131018522257.jpg","","5900","","/100g"
"Rau húng cây","https://www.bachhoaxanh.com/rau-sach/rau-hung-cay-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299257/bhx/thumb-hung-que_202506131018465439.jpg","","5900","","/100g"
"Rau húng quế","https://www.bachhoaxanh.com/rau-sach/rau-hung-que-tui-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299256/bhx/thumb-hung-que_202506131016509419.jpg","","5900","","/100g"
"Tía tô","https://www.bachhoaxanh.com/rau-sach/tia-to-goi-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/299255/bhx/thumb-tia-to_202506131016015354.jpg","","5900","","/100g"
"Rau má","https://www.bachhoaxanh.com/rau-sach/rau-ma-goi-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/271747/bhx/thumb-rau-ma_202506131012086910.jpg","","12000","","/200g"
"Rau cần nước","https://www.bachhoaxanh.com/rau-sach/rau-can-nuoc-goi-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/271532/bhx/thumb-rau-can-duoc_202506131010321835.jpg","","10000","","/500g"
"Hẹ lá","https://www.bachhoaxanh.com/rau-sach/he-la-goi-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/271502/bhx/thumb-hung-que_202506131032076732.jpg","","4900","","/100g"
"Hành lá","https://www.bachhoaxanh.com/rau-sach/hanh-la-goi-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/271492/bhx/thumb-hanh-la-100_202506131009054935.jpg","","6500","","/100g"
"Rau thơm các loại","https://www.bachhoaxanh.com/rau-sach/rau-thom-cac-loai-goi-200gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/271489/bhx/thumb-rau-thom_202506131006277670.jpg","","14000","","/200g"
"Hành lá","https://www.bachhoaxanh.com/rau-sach/hanh-la-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8820/232791/bhx/rau-den-baby-tick-xanh_202509051407281317.jpg","","18000","","/300g"
"Combo tiết kiệm (Dưa leo 1kg + Rau muống hạt 400g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-rau-muong-hat-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362036/dua-leo-1kg-rau-muong-hat-400g_202601151510570272.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Rau mồng tơi 400g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-mong-toi-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362034/dua-leo-1kg-mong-toi-400g_202601151451406996.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Cải thìa 300g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-cai-thia-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362030/dua-leo-1kg-cai-thia-300g_202601151425350408.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Cải ngọt 400g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-cai-ngot-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362029/dua-leo-1kg-cai-ngot-400g_202601151414418162.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Cải ngồng 400g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-cai-ngong-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362027/dua-leo-1kg-cai-ngong-400g_202601151356204647.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Cải bẹ xanh 400g)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-cai-be-xanh-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362018/dua-leo-1kg-cai-be-xanh-400g_202601151056596420.jpg","41900","24000","43",""
"Combo tiết kiệm (Dưa leo 1kg + Cải bẹ dún)","https://www.bachhoaxanh.com/cu/dua-leo-1kg-cai-be-dun","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8785/362016/dua-leo-1kg-cai-be-dun_202601151023575130.jpg","41900","23500","44",""
"Tiêu xanh","https://www.bachhoaxanh.com/cu/tieu-xanh-tui-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/299806/bhx/tieu-xanh-tui-50g_202504121341029752.jpg","","9500","","/50g"
"Bún tươi 500g","https://www.bachhoaxanh.com/bun-kho/bun-tuoi-bach-hoa-xanh-goi-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8163/249870/bhx/332812-2_202412171336002373.jpg","","9500","","/Gói 500g"
