"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá hiện tại (VND)","Đơn vị tính","Giá gốc (VND)","Phần trăm giảm giá"
"Cá bạc má làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-bac-ma-lam-sach","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/314439/bhx/ca-bac-ma-lam-sach_202505281353199003.jpg","22890","/300g","32700","30"
"Cá hường làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-huong-lam-sach","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/226837/bhx/ca-huong-lam-sach_202505290841333910.jpg","26880","/300g","38400","30"
"Cá hường làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-huong-lam-sach-500gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/339820/bhx/ca-huong-lam-sach-500gr_202506260941382688.jpg","44800","/500g","64000","30"
"Cá ngân làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-ngan-lam-sach-g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/316238/bhx/ca-ngan-lam-sach-g_202505252330366134.jpg","22050","/300g","31500","30"
"Cá sòng làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-song-lam-sach","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/318334/bhx/ca-song-lam-sach_202509101507591737.jpg","29960","/400g","42800","30"
"Đầu cá hồi salar làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/dau-ca-hoi-lam-sach","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/313925/bhx/313925-1_202510291549392444.jpg","37100","/500g","53000","30"
"Râu mực nhập khẩu","https://www.bachhoaxanh.com/ca-tom-muc-ech/rau-muc-nhap-khau-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/273352/bhx/273353-1_202510291550068691.jpg","39480","/300g","56400","30"
"Bao tử cá basa","https://www.bachhoaxanh.com/ca-tom-muc-ech/bao-tu-ca-basa-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/226944/bhx/bao-tu-ca-basa-1kg_202505141445232717.jpg","23100","/250g","33000","30"
"Thịt hến làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/thit-hen-lam-sach-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/233731/bhx/thit-hen-lam-sach-1kg_202505252345559463.jpg","20580","/200g","29400","30"
"Tôm thẻ nguyên con","https://www.bachhoaxanh.com/ca-tom-muc-ech/tom-the-nc","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/340082/bhx/tom-the-nc_202507030858467936.jpg","33750","","45000","25"
"Thịt ốc móng tay","https://www.bachhoaxanh.com/ca-tom-muc-ech/thit-oc-mong-tay","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/325103/bhx/thit-oc-mong-tay_202507071704235260.jpg","30240","/300g","43200","30"
"Thịt nghêu lụa","https://www.bachhoaxanh.com/ca-tom-muc-ech/thit-ngheu-lua-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/233814/bhx/thit-ngheu-lua-1kg_202505252346286932.jpg","17500","/200g","25000","30"
"Canh khổ qua dồn cá basa","https://www.bachhoaxanh.com/cu/canh-kho-qua-don-ca-basa-khay-370g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/12718/337068/bhx/canh-kho-qua-don-ca-basa-khay-370g_202508181020389791.jpg","27300","/370g","39000","30"
"Canh chua cá basa 750g","https://www.bachhoaxanh.com/ca-tom-muc-ech/canh-chua-ca-basa-750g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/12718/331849/bhx/canh-chua-ca-basa-750g_202508181020276419.jpg","34300","/750g","49000","30"
"Thanh surimi hương vị cua 200g","https://www.bachhoaxanh.com/ca-tom-muc-ech/thanh-surimi-huong-vi-cua-dong-lanh-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/1/image/production/2026/1/image/Products/8782/362014/thanh-surimi-huong-vi-cua-dong-lanh-200g_202601151002463345.jpg","49000","/200g","",""
"Thịt hến làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/thit-hen-lam-sach-200gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/341772/bhx/thit-hen-lam-sach-200gr_202507311629246360.jpg","20650","/200g","29500","30"
"Chả cá basa tươi","https://www.bachhoaxanh.com/ca-tom-muc-ech/cha-ca-basa-tuoi-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/341649/bhx/cha-ca-basa-tuoi-200g_202508221028121163.jpg","21700","/200g","31000","30"
"Cua đồng xay","https://www.bachhoaxanh.com/ca-tom-muc-ech/cua-dong-xay-250g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/341648/bhx/cua-dong-xay-250g_202508201322417160.jpg","22400","/250g","32000","30"
"Cá trác làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-trac-lam-sach-500gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/339818/bhx/ca-trac-lam-sach-500gr_202506260935461002.jpg","38150","/500g","54500","30"
"Cá ngân làm sạch","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-ngan-lam-sach-500gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/339817/bhx/ca-ngan-lam-sach-500gr_202506260933471566.jpg","36750","/500g","52500","30"
"Tép rong","https://www.bachhoaxanh.com/ca-tom-muc-ech/tep-rong","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/313876/bhx/tep-rong_202510151052018736.jpg","30800","/200g","44000","30"
