"Tên sản phẩm","URL sản phẩm","Hình ảnh sản phẩm","Giá gốc (VNĐ)","Giá hiện tại (VNĐ)","Phần trăm giảm giá","Đơn vị tính"
"Thơm nguyên vỏ","https://www.bachhoaxanh.com/cu/thom-mieng-khay-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/233930/bhx/thom-mieng-khay-1kg_202512031520400456.jpg","24200","20900","14","/1.1kg"
"Bắp Mỹ tách hạt","https://www.bachhoaxanh.com/cu/bap-my-tach-hat-khay-250g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/299768/bhx/bap-my-tach-hat-khay-250g_202510221657358391.jpg","16000","16000","0","/250g"
"Chanh không hạt","https://www.bachhoaxanh.com/cu/chanh-khong-hat-tui-250g-2-4-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/production/2026/2/image/Products/Images/8785/299252/bhx/thumb-km_202602231512224260.jpg","12000","12000","0","/250g"
"Khoai lang Nhật","https://www.bachhoaxanh.com/cu/khoai-lang-nhat-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/220470/bhx/khoai-lang-nhat-1kg_202504140831119959.jpg","28000","28000","0","/700g"
"Bắp cải trái tim","https://www.bachhoaxanh.com/cu/bap-cai-trai-tim-bich-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/230437/bhx/bap-cai-trai-tim-bich-1kg_202504140902288390.jpg","12720","12720","0","/400g"
"Su su trái từ 200g","https://www.bachhoaxanh.com/cu/su-su-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/230462/bhx/su-su-500g_202507031125252608.jpg","11000","11000","0","/500g"
"Củ cải trắng","https://www.bachhoaxanh.com/cu/cu-cai-trang-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/233985/bhx/cu-cai-trang-1kg_202504140834423096.jpg","6600","6600","0","/300g"
"Đậu cove","https://www.bachhoaxanh.com/cu/dau-cove-250g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/338607/bhx/dau-cove-250g_202510281332249198.jpg","15000","15000","0","/250g"
"Cà tím","https://www.bachhoaxanh.com/cu/ca-tim-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/230439/bhx/ca-tim-500g_202504140954336033.jpg","14500","14500","0","/500g"
"Đậu bắp","https://www.bachhoaxanh.com/cu/dau-bap-khay-250g-10-12-trai","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8785/271743/bhx/dau-bap-khay-250g-10-12-trai_202510231548139655.jpg","9500","9500","0","/250g"
